Start,End
2016-07-23T21:09:00,2016-07-24T12:59:00
2016-07-24T13:00:00,2016-07-24T22:15:00
2016-07-25T21:26:00,2016-07-26T05:16:00
2016-07-26T21:14:00,2016-07-27T04:18:00
2016-07-27T21:24:00,2016-07-28T04:37:00
2016-07-28T21:23:00,2016-07-29T02:14:00
2016-07-29T13:00:00,2016-07-29T23:33:00
2016-07-30T21:45:00,2016-07-31T06:12:00
2016-07-31T20:32:00,2016-08-01T03:52:00
2016-08-01T15:11:00,2016-08-02T04:18:00
2016-08-03T00:11:00,2016-08-03T04:00:00
2016-08-03T21:37:00,2016-08-04T08:17:00
2016-08-04T19:51:00,2016-08-05T06:48:00
2016-08-05T21:16:00,2016-08-06T08:35:00
2016-08-06T20:28:00,2016-08-07T10:40:00
2016-08-07T22:36:00,2016-08-08T05:53:00
2016-08-08T21:39:00,2016-08-09T11:34:00
2016-08-09T19:20:00,2016-08-10T07:50:00
2016-08-10T22:14:00,2016-08-11T05:49:00
2016-08-11T13:04:00,2016-08-12T03:52:00
2016-08-12T21:05:00,2016-08-13T04:58:00
2016-08-13T21:59:00,2016-08-14T05:47:00
2016-08-14T21:58:00,2016-08-15T06:40:00
2016-08-15T14:00:00,2016-08-16T09:08:00
2016-08-16T22:38:00,2016-08-17T06:44:00
2016-08-17T15:21:00,2016-08-18T00:41:00
2016-08-18T21:26:00,2016-08-19T05:27:00
2016-08-19T21:49:00,2016-08-20T05:47:00
2016-08-20T20:46:00,2016-08-21T06:49:00
2016-08-21T20:35:00,2016-08-22T07:06:00
2016-08-22T21:29:00,2016-08-23T05:04:00
2016-08-23T21:44:00,2016-08-24T03:33:00
2016-08-24T13:23:00,2016-08-25T05:27:00
2016-08-25T21:35:00,2016-08-26T05:42:00
2016-08-26T20:39:00,2016-08-27T02:21:00
2016-08-27T21:27:00,2016-08-28T05:10:00
2016-08-28T20:54:00,2016-08-29T06:01:00
2016-08-29T20:37:00,2016-08-30T04:38:00
2016-08-30T19:55:00,2016-08-31T05:27:00
2016-08-31T13:04:00,2016-09-01T06:34:00
2016-09-01T20:34:00,2016-09-02T05:41:00
2016-09-02T21:15:00,2016-09-03T05:04:00
2016-09-03T12:20:00,2016-09-04T06:05:00
2016-09-04T14:42:00,2016-09-05T06:56:00
2016-09-05T20:33:00,2016-09-06T09:39:00
2016-09-06T20:46:00,2016-09-07T03:31:00
2016-09-07T13:21:00,2016-09-08T02:17:00
2016-09-08T20:33:00,2016-09-09T05:24:00
2016-09-09T21:53:00,2016-09-10T03:20:00
2016-09-10T21:28:00,2016-09-11T03:55:00
2016-09-11T22:39:00,2016-09-12T02:51:00
2016-09-12T20:59:00,2016-09-13T05:28:00
2016-09-13T21:51:00,2016-09-14T07:49:00
2016-09-14T19:34:00,2016-09-15T04:25:00
2016-09-15T19:52:00,2016-09-16T06:48:00
2016-09-16T20:08:00,2016-09-17T05:28:00
2016-09-17T20:29:00,2016-09-18T05:40:00
2016-09-18T21:31:00,2016-09-19T06:07:00
2016-09-19T19:24:00,2016-09-20T05:50:00
2016-09-20T13:44:00,2016-09-21T04:57:00
2016-09-21T20:24:00,2016-09-22T02:48:00
2016-09-22T21:15:00,2016-09-23T08:41:00
2016-09-23T20:55:00,2016-09-24T00:38:00
2016-09-24T13:00:00,2016-09-24T23:09:00
2016-09-25T20:50:00,2016-09-26T01:56:00
2016-09-26T22:04:00,2016-09-27T04:28:00
